# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       8.5451320     0.011373271      0.35951082
2.750       8.7964594     0.010999468      0.37928499
2.750       9.0477868     0.010797779      0.40516485
2.750       9.2991143     0.010288298      0.41912015
2.750       9.5504417     0.010242997      0.45203042
2.750       9.8017691    0.0099386991      0.47414721
2.750       10.053096    0.0098191320      0.50540893
2.750       10.304424    0.0094135001      0.52178614
2.750       10.555751    0.0091768744      0.54680503
2.750       10.807079    0.0088434619      0.56548034
2.750       11.058406    0.0086974292      0.59585251
2.750       11.309734    0.0086528576      0.63414261
2.750       11.561061    0.0084084658      0.65823367
2.750       11.812388    0.0082700276      0.69054244
2.750       12.063716    0.0080894364      0.71950168
2.750       12.315043    0.0079759590      0.75467678
2.750       12.566371    0.0077491092      0.77902543
2.750       12.817698    0.0076873365      0.82011784
2.750       13.069025    0.0074652853      0.84420181
2.750       13.320353    0.0073841505      0.88413378
2.750       13.571680    0.0071092868      0.90032053
2.750       13.823008    0.0070143276      0.93856412
2.750       14.074335    0.0069020795      0.97484121
2.750       14.325663    0.0067399456       1.0038546
2.750       14.576990    0.0066788022       1.0480268
2.750       14.828317    0.0066029058       1.0906389
2.750       15.079645    0.0064536767       1.1211166
2.750       15.330972    0.0064488488       1.1772306
2.750       15.582300    0.0061690799       1.1824568
2.750       15.833627    0.0061684795       1.2404796
2.750       16.084954    0.0060017752       1.2653466
2.750       16.587609    0.0058674438       1.3566586
2.750       17.090264    0.0057180295       1.4459823
2.750       17.592919    0.0055762533       1.5382483
2.750       18.095574    0.0053426873       1.6037885
2.750       18.598229    0.0051712146       1.6853013
2.750       19.100883    0.0051588200       1.8212979
2.750       19.603538    0.0049423758       1.8862941
2.750       20.106193    0.0049643689       2.0442022
2.750       20.608848    0.0046888687       2.0792153
2.750       21.111503    0.0045923052       2.1890639
2.750       21.614157    0.0044997188       2.3018158
2.750       22.116812    0.0044302105       2.4280756
2.750       22.619467    0.0043554613       2.5535921
2.750       23.122122    0.0042182253       2.6416976
2.750       23.624777    0.0041961631       2.8030172
2.750       24.127432    0.0040996360       2.9170834
2.750       24.630086    0.0039669346       3.0027771
2.750       25.132741    0.0039205844       3.1531211
2.750       25.635396    0.0038210285       3.2611489
2.750       26.138051    0.0038385668       3.4726335
2.750       26.640706    0.0037151339       3.5586224
2.750       27.143361    0.0036252443       3.6728093
2.750       27.646015    0.0035678259       3.8191925
2.750       28.148670    0.0035082082       3.9639600
2.750       28.651325    0.0034441890       4.1038489
2.750       29.153980    0.0033715210       4.2324290
2.750       29.656635    0.0032804144       4.3347551
2.750       30.159289    0.0032216426       4.4772458
2.750       30.661944    0.0032294902       4.7163204
2.750       31.164599    0.0032295952       4.9522548
2.750       31.667254    0.0031387460       5.0496077
2.750       32.169909    0.0030797790       5.1944467
2.750       33.175218    0.0030658013       5.6709476
2.750       34.180528    0.0028914926       5.8496335
2.750       35.185838    0.0027936416       6.1651639
2.750       36.191147    0.0026661329       6.4026403
2.750       37.196457    0.0026059888       6.7943440
2.750       38.201767    0.0026615329       7.5171366
2.750       39.207076    0.0025402092       7.7559164
2.750       40.212386    0.0024393560       8.0357231
2.750       41.217696    0.0023225772       8.2393233
2.750       42.223005    0.0023846111       9.0935875
2.750       43.228315    0.0022462004       9.1922890
2.750       44.233625    0.0022502567       9.8664270
2.750       45.238934    0.0022313857       10.466030
2.750       46.244244    0.0021134878       10.588710
2.750       47.249554    0.0021439316       11.457090
2.750       48.254863    0.0020817729       11.850232
2.750       49.260173    0.0019927506       12.067324
2.750       50.265482    0.0019683567       12.664371
2.750       51.270792    0.0019471115       13.294474
2.750       52.276102    0.0018979709       13.736288
2.750       53.281411    0.0018989392       14.551524
2.750       54.286721    0.0017826089       14.447981
2.750       55.292031    0.0018058410       15.464554
2.750       56.297340    0.0017630479       15.936685
2.750       57.302650    0.0017210345       16.405292
2.750       58.307960    0.0017084362       17.157443
2.750       59.313269    0.0016870777       17.834500
2.750       60.318579    0.0016065850       17.861884
2.750       61.323889    0.0015601073       18.226941
2.750       62.329198    0.0015838196       19.429006
2.750       63.334508    0.0015291328       19.680525
2.750       64.339818    0.0015429527       20.819119
2.750       66.350437    0.0015317265       22.666415
2.750       68.361056    0.0013909044       22.510951
2.750       70.371675    0.0013411354       23.677538
2.750       72.382295    0.0013278967       25.511241
2.750       74.392914    0.0013304360       27.749743
2.750       76.403533    0.0012562434       28.384706
2.750       78.414153    0.0012171130       29.729288
2.750       80.424772    0.0011312129       29.811521
2.750       82.435391    0.0011866157       33.676075
2.750       84.446011    0.0010957413       33.428409
2.750       86.456630    0.0010921834       35.756973
2.750       88.467249    0.0011161046       39.149184
2.750       90.477868    0.0010497747       39.390676
2.750       92.488488    0.0010283516       41.216860
2.750       94.499107   0.00096076748       41.074442
2.750       96.509726   0.00095108343       43.311390
2.750       98.520346   0.00097595362       47.279973
2.750       100.53096   0.00088991195       45.805418
2.750       102.54158   0.00091886485       50.190551
2.750       104.55220   0.00085949142       49.763552
2.750       106.56282   0.00086351306       52.936633
2.750       108.57344   0.00080286693       52.057661
2.750       110.58406   0.00082459262       56.492047
2.750       112.59468   0.00078090235       56.470367
2.750       114.60530   0.00074674920       56.945463
2.750       116.61592   0.00075880849       60.964352
2.750       118.62654   0.00072730178       61.507841
2.750       120.63716   0.00075041980       66.744861
2.750       122.64778   0.00074292644       69.437666
2.750       124.65840   0.00069613694       68.317120
2.750       126.66902   0.00070908374       73.009433
2.750       128.67964   0.00069046315       74.531562
2.500     0.015707963       39.888869   7.8321612e-06
2.500     0.031415927       94.806293   0.00014892138
2.500     0.047123890       48.121521   0.00025511324
2.500     0.062831853       40.990833   0.00051510600
2.500     0.078539816       30.565218   0.00075018332
2.500     0.094247780       22.930024   0.00097249674
2.500      0.10995574       18.833511    0.0012683973
2.500      0.12566371       17.054949    0.0017145505
2.500      0.14137167       12.190132    0.0017448810
2.500      0.15707963       10.517689    0.0020651434
2.500      0.17278760       9.2972093    0.0024297442
2.500      0.18849556       8.4733962    0.0028749556
2.500      0.20420352       7.3789607    0.0031831356
2.500      0.21991149       6.5679163    0.0035386826
2.500      0.23561945       5.7715688    0.0038247015
2.500      0.25132741       5.3584720    0.0043095389
2.500      0.26703538       4.6040508    0.0044413680
2.500      0.28274334       4.1667724    0.0047714150
2.500      0.29845130       3.7401772    0.0050371266
2.500      0.31415927       3.3966363    0.0053354238
2.500      0.32986723       3.1099630    0.0056551353
2.500      0.34557519       2.8018123    0.0058578327
2.500      0.36128316       2.6689889    0.0063761742
2.500      0.37699112       2.4242111    0.0065801235
2.500      0.39269908       2.2587304    0.0069296981
2.500      0.40840704       2.1491232    0.0074167092
2.500      0.42411501       1.9884721    0.0076849435
2.500      0.43982297       1.8702818    0.0080614102
2.500      0.45553093       1.7534483    0.0083968586
2.500      0.47123890       1.6563029    0.0087807864
2.500      0.48694686       1.5228072    0.0089075831
2.500      0.50265482       1.4634443    0.0094157737
2.500      0.51836279       1.3779697    0.0097232487
2.500      0.53407075       1.3136570     0.010137914
2.500      0.54977871       1.2561522     0.010574901
2.500      0.56548668       1.2028711     0.011019363
2.500      0.58119464       1.1357785     0.011296105
2.500      0.59690260       1.0721813     0.011551780
2.500      0.61261057       1.0262915     0.011953482
2.500      0.62831853      0.98109657     0.012328823
2.500      0.64402649      0.93570528     0.012662532
2.500      0.65973446      0.88373183     0.012855775
2.500      0.67544242      0.86678557     0.013531531
2.500      0.69115038      0.82957983     0.013875419
2.500      0.70685835      0.80806077     0.014458108
2.500      0.72256631      0.75686955     0.014465199
2.500      0.73827427      0.74288421     0.015144139
2.500      0.75398224      0.71240614     0.015469677
2.500      0.76969020      0.69534638     0.016062729
